[2023/03/30 06:17:15] - Namespace(alpha=8, batch_m=0.75, batch_size=128, data_dir='../data', delta_init='random', epochs=110, epsilon=8, inner_gamma=0.15 lamda=0.6, log='TDAT.log', lr_max=0.1, lr_min=0.0, lr_schedule='multistep', milestone1=100, milestone2=105, model='ResNet18', momentum=0.9, out_dir='TDAT', outer_gamma=0.15, save_epoch=104, seed=0, weight_decay=0.0005)
[2023/03/30 06:17:17] - Epoch 	 Seconds 	 LR 	 Inner Loss 	 Train Loss 	 Train Acc 	 Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2023/03/30 06:19:25] - 0 	 76.8 	 	 0.1000 	 2.4214 	 	 2.5770 	 0.1735 	 2.0357 	 	 0.2693 	 2.0638 	 0.2048
[2023/03/30 06:21:37] - 1 	 80.5 	 	 0.1000 	 2.0409 	 	 2.1384 	 0.2317 	 1.8860 	 	 0.3422 	 1.9329 	 0.2541
[2023/03/30 06:23:42] - 2 	 73.3 	 	 0.1000 	 1.9527 	 	 2.0790 	 0.2695 	 1.8137 	 	 0.3833 	 1.8734 	 0.2684
[2023/03/30 06:25:50] - 3 	 75.0 	 	 0.1000 	 1.9031 	 	 2.0427 	 0.2929 	 1.7258 	 	 0.3923 	 1.7997 	 0.2806
[2023/03/30 06:27:59] - 4 	 78.5 	 	 0.1000 	 1.8637 	 	 2.0133 	 0.3164 	 1.6672 	 	 0.4191 	 1.7481 	 0.2743
[2023/03/30 06:29:26] - 5 	 55.2 	 	 0.1000 	 1.8318 	 	 1.9897 	 0.3423 	 1.5680 	 	 0.4669 	 1.6773 	 0.3261
[2023/03/30 06:31:35] - 6 	 75.7 	 	 0.1000 	 1.8069 	 	 1.9698 	 0.3612 	 1.5510 	 	 0.4930 	 1.6717 	 0.3223
[2023/03/30 06:33:45] - 7 	 78.6 	 	 0.1000 	 1.7827 	 	 1.9517 	 0.3832 	 1.4905 	 	 0.5275 	 1.6332 	 0.3265
[2023/03/30 06:35:51] - 8 	 74.2 	 	 0.1000 	 1.7625 	 	 1.9351 	 0.4054 	 1.4681 	 	 0.5348 	 1.6114 	 0.3338
[2023/03/30 06:38:01] - 9 	 77.2 	 	 0.1000 	 1.7515 	 	 1.9241 	 0.4242 	 1.4144 	 	 0.5839 	 1.5838 	 0.3586
[2023/03/30 06:40:08] - 10 	 75.4 	 	 0.1000 	 1.7416 	 	 1.9143 	 0.4426 	 1.3611 	 	 0.6006 	 1.5431 	 0.3676
[2023/03/30 06:42:15] - 11 	 74.5 	 	 0.1000 	 1.7445 	 	 1.9140 	 0.4530 	 1.3672 	 	 0.6196 	 1.5511 	 0.3758
[2023/03/30 06:44:25] - 12 	 78.7 	 	 0.1000 	 1.7486 	 	 1.9133 	 0.4658 	 1.3539 	 	 0.6281 	 1.5463 	 0.3826
[2023/03/30 06:46:32] - 13 	 75.1 	 	 0.1000 	 1.7573 	 	 1.9164 	 0.4746 	 1.3431 	 	 0.6465 	 1.5375 	 0.3999
[2023/03/30 06:48:23] - 14 	 74.9 	 	 0.1000 	 1.7662 	 	 1.9197 	 0.4842 	 1.3190 	 	 0.6465 	 1.5166 	 0.3980
[2023/03/30 06:50:11] - 15 	 56.8 	 	 0.1000 	 1.7795 	 	 1.9266 	 0.4903 	 1.3351 	 	 0.6408 	 1.5353 	 0.3925
[2023/03/30 06:52:18] - 16 	 75.1 	 	 0.1000 	 1.7910 	 	 1.9318 	 0.4994 	 1.3264 	 	 0.6461 	 1.5230 	 0.3960
[2023/03/30 06:54:26] - 17 	 75.5 	 	 0.1000 	 1.8028 	 	 1.9375 	 0.5056 	 1.3035 	 	 0.6593 	 1.5142 	 0.4144
[2023/03/30 06:56:37] - 18 	 79.3 	 	 0.1000 	 1.8160 	 	 1.9444 	 0.5087 	 1.3121 	 	 0.6700 	 1.5108 	 0.4238
[2023/03/30 06:58:44] - 19 	 75.8 	 	 0.1000 	 1.8285 	 	 1.9514 	 0.5180 	 1.3248 	 	 0.6657 	 1.5298 	 0.4205
[2023/03/30 07:00:51] - 20 	 74.2 	 	 0.1000 	 1.8441 	 	 1.9614 	 0.5217 	 1.3080 	 	 0.6951 	 1.5216 	 0.4310
[2023/03/30 07:02:58] - 21 	 76.1 	 	 0.1000 	 1.8551 	 	 1.9661 	 0.5255 	 1.3208 	 	 0.6586 	 1.5247 	 0.4169
[2023/03/30 07:05:03] - 22 	 74.7 	 	 0.1000 	 1.8696 	 	 1.9753 	 0.5288 	 1.3526 	 	 0.6818 	 1.5482 	 0.4289
[2023/03/30 07:07:11] - 23 	 74.8 	 	 0.1000 	 1.8854 	 	 1.9847 	 0.5297 	 1.3369 	 	 0.6724 	 1.5336 	 0.4293
[2023/03/30 07:08:57] - 24 	 68.0 	 	 0.1000 	 1.8980 	 	 1.9922 	 0.5345 	 1.3522 	 	 0.6811 	 1.5529 	 0.4357
[2023/03/30 07:10:43] - 25 	 54.6 	 	 0.1000 	 1.9108 	 	 2.0000 	 0.5384 	 1.3185 	 	 0.7030 	 1.5229 	 0.4587
[2023/03/30 07:12:51] - 26 	 74.5 	 	 0.1000 	 1.9252 	 	 2.0091 	 0.5395 	 1.3409 	 	 0.7017 	 1.5462 	 0.4399
